database,outcome,label,threshold,baseline_net_benefit,hrc_net_benefit,delta_net_benefit,treat_all_net_benefit,treat_none_net_benefit
SICdb,outcome,Hospital mortality,0.1,0.0411194370585234,0.0429323449628018,0.00181290790427845,0.0132409421749523,0
SICdb,outcome,Hospital mortality,0.15,0.0265466592728462,0.0306843549602582,0.00413769568741202,-0.0448037082853446,0
SICdb,outcome,Hospital mortality,0.2,0.0211505922165821,0.0229030698573846,0.00175247764080252,-0.110103940053179,0
SICdb,outcome,Hospital mortality,0.25,0.0130529369108049,0.0155910079767948,0.00253807106598985,-0.184110869390057,0
SICdb,outcome,Hospital mortality,0.3,0.00934079215442522,0.0114644842708657,0.00212369211644049,-0.268690217203633,0
SICdb,outcome,Hospital mortality,0.35,0.00436957289749168,0.0089529759580521,0.00458340306056042,-0.366281772373143,0
SICdb,outcome,Hospital mortality,0.4,0.00314237370074934,0.00612360003222947,0.00298122633148014,-0.480138586737572,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.1,0.300031889207781,0.299667441118856,-3.6444808892532e-4,0.300031889207781,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.15,0.259339652220052,0.26124496539083,0.00190531317077874,0.258857294455297,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.2,0.218122181221812,0.224904332376657,0.00678215115484487,0.212535875358754,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.25,0.17819233747893,0.190082456380119,0.011890118901189,0.160038267049337,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.3,0.14269118881665,0.160545891173197,0.0178547023565474,0.100041000410004,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.35,0.112456765593297,0.132105423618339,0.0196486580250418,0.0308133850569275,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.4,0.0906336841146189,0.106145505899503,0.0155118217848845,-0.0499521661883287,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.45,0.075036962490837,0.0898840806589884,0.0148471181681514,-0.14540236311454,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.5,0.0636873035397021,0.0754407544075441,0.011753450867842,-0.259942599425994,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.55,0.0533233110108879,0.0621991405099236,0.00887582949903572,-0.399936221584438,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.6,0.0454079540795408,0.0526513598469318,0.007243405767391,-0.574928249282493,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.65,0.035680118705949,0.044143774771081,0.00846365606513209,-0.799917999179992,0
MIMIC-IV,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.7,0.0267186005193385,0.0362398068425129,0.00952120632317434,-1.09990433237666,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.1,0.304204344662717,0.30389252676437,-3.1181789834733e-4,0.30412639018813,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.15,0.265015407472624,0.267869916909701,0.00285450943707699,0.26319264843449103,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.2,0.221497895229186,0.233483395696913,0.0119855004677268,0.217142188961646,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.25,0.188376987839102,0.201395385095104,0.0130183972560025,0.164951668225756,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.3,0.15393224642523,0.172925297340639,0.0189930509154083,0.10530535881331,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.35,0.126682017701662,0.150356191983881,0.0236741742822192,0.0364826941066417,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.4,0.103406610539445,0.125233863423761,0.0218272528843156,-0.0438104147178049,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.45,0.0868590016157836,0.10489837571222,0.0180393740964368,-0.138702270601242,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.5,0.0726145930776427,0.0887511693171188,0.0161365762394761,-0.252572497661366,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.55,0.060232824030766,0.0768371271177632,0.0166043030869972,-0.39174721962374,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.6,0.0432647333956969,0.0641955098222638,0.0209307764265669,-0.565715622076707,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.65,0.029383268742483,0.050948817319257,0.021565548576774,-0.78938928237338,0
eICU,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.7,0.0201512316806985,0.0419395073277206,0.0217882756470221,-1.08762082943561,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.1,0.301856195523123,0.302782845394261,9.2664987113777e-4,0.30182723771465,0
SICdb,organ_nonrecovery_24_72,Post-24h organ nonrecovery,0.15,0.26093455364945,0.263678731852397,0.00274417820294653,0.260758251697864,0
